,id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords
39713,4277,LGPZ,medium_airport,Aktion National Airport,38.92549896240234,20.765300750732425,11.0,EU,GR,GR-D,Preveza/Lefkada,yes,LGPZ,PVK,,,https://en.wikipedia.org/wiki/Aktion_National_Airport,"Aktio, Lefkada Airport, Πρέβεζα, Λευκάδα"
39715,4279,LGRP,medium_airport,Diagoras Airport,36.405399322509766,28.086200714111328,17.0,EU,GR,GR-L,Rodes Island,yes,LGRP,RHO,,,https://en.wikipedia.org/wiki/Rhodes_International_Airport%2C_%26quot%3BDiagoras%26quot%3B,
39717,4280,LGRX,medium_airport,Patras Araxos Agamemnon Airport,38.1511,21.4256,46.0,EU,GR,GR-G,Patras,yes,LGRX,GPA,,http://www.araxos-airport.gr/,https://en.wikipedia.org/wiki/Araxos_Airport,
39718,4281,LGSA,medium_airport,Chania International Airport,35.531700134277344,24.14970016479492,490.0,EU,GR,GR-M,Souda,yes,LGSA,CHQ,,,https://en.wikipedia.org/wiki/Chania_International_Airport,
39720,4282,LGSK,medium_airport,Skiathos Island National Airport,39.17710113525391,23.503700256347656,54.0,EU,GR,GR-E,Skiathos,yes,LGSK,JSI,,,https://en.wikipedia.org/wiki/Skiathos_Island_National_Airport,Alexandros Papadiamantis Airport
39721,4283,LGSM,medium_airport,Samos Airport,37.68999862670898,26.911699295043945,19.0,EU,GR,GR-K,Samos Island,yes,LGSM,SMI,,,https://en.wikipedia.org/wiki/Samos_International_Airport,
39722,4284,LGSO,small_airport,Syros Airport,37.4227981567,24.9508991241,236.0,EU,GR,GR-L,Syros Island,yes,LGSO,JSY,,,https://en.wikipedia.org/wiki/Syros_Island_National_Airport,
39723,4285,LGSP,small_airport,Sparti Airport,36.973899841308594,22.52630043029785,500.0,EU,GR,GR-J,Sparti,no,LGSP,SPJ,,,,
39724,4286,LGSR,medium_airport,Santorini Airport,36.399200439453125,25.47929954528809,127.0,EU,GR,GR-L,Santorini Island,yes,LGSR,JTR,,,https://en.wikipedia.org/wiki/Santorini_(Thira)_National_Airport,
39725,4287,LGST,medium_airport,Sitia Airport,35.21609878540039,26.101299285888672,376.0,EU,GR,GR-M,Crete Island,yes,LGST,JSH,,,https://en.wikipedia.org/wiki/Sitia_Public_Airport,
