,id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords
27193,3175,HEAL,medium_airport,El Alamein International Airport,30.9245,28.461399,143.0,AF,EG,EG-MT,El Alamein,no,HEAL,DBB,,,https://en.wikipedia.org/wiki/El_Alamein_International_Airport,"Al Alamain, Al Alamayn, العلمين‎"
27194,3176,HEAR,medium_airport,El Arish International Airport,31.078565,33.836791,118.0,AS,EG,EG-SIN,El Arish,yes,HEAR,AAC,,,https://en.wikipedia.org/wiki/El_Arish_International_Airport,
27195,3177,HEAT,medium_airport,Asyut International Airport,27.050818,31.016309,748.0,AF,EG,EG-AST,Asyut,yes,HEAT,ATZ,,,https://en.wikipedia.org/wiki/Assiut_Airport,Asyut
27198,3180,HEBA,medium_airport,Borj El Arab International Airport,30.93249,29.696437,171.0,AF,EG,EG-ALX,Alexandria,yes,HEBA,HBE,,,https://en.wikipedia.org/wiki/Borg_El_Arab_Airport,
27199,3181,HEBL,medium_airport,Abu Simbel Airport,22.367657,31.609962,614.0,AF,EG,EG-ASN,Abu Simbel,yes,HEBL,ABS,,,https://en.wikipedia.org/wiki/Abu_Simbel_Airport,
27201,3183,HECA,large_airport,Cairo International Airport,30.12190055847168,31.40559959411621,382.0,AF,EG,EG-C,Cairo,yes,HECA,CAI,,,https://en.wikipedia.org/wiki/Cairo_International_Airport,
27202,2356,HECP,medium_airport,Capital International Airport,30.074293,31.84296,761.0,AF,EG,EG-C,New Cairo,no,HECP,CCE,,http://www.avit.com.eg/index.php/projects/item/138-katameya-airport,https://en.wikipedia.org/wiki/Capital_International_Airport_(Egypt),HECP
27206,3186,HEGN,large_airport,Hurghada International Airport,27.180325,33.807292,32.0,AF,EG,EG-BA,Hurghada,yes,HEGN,HRG,,,https://en.wikipedia.org/wiki/Hurghada_International_Airport,"Al Ghardaqah, الغردقة"
27208,3188,HEGR,medium_airport,El Jora Airport,31.078138,34.153131,331.0,AS,EG,EG-SIN,El Jora,no,HEGR,EGH,,,https://en.wikipedia.org/wiki/El_Gora_Airport,
27212,3191,HELX,medium_airport,Luxor International Airport,25.674629,32.700012,276.0,AF,EG,EG-LX,Luxor,yes,HELX,LXR,,,https://en.wikipedia.org/wiki/Luxor_International_Airport,
27213,3192,HEMA,medium_airport,Marsa Alam International Airport,25.555548,34.59245,213.0,AF,EG,EG-BA,Marsa Alam,yes,HEMA,RMF,,http://www.marsa-alam-airport.com,https://en.wikipedia.org/wiki/Marsa_Alam_International_Airport,
27214,3193,HEMM,medium_airport,Marsa Matruh Airport,31.325399,27.221701,94.0,AF,EG,EG-MT,Marsa Matruh,yes,HEMM,MUH,,,https://en.wikipedia.org/wiki/Mersa_Matruh_Airport,
27218,3196,HEPS,medium_airport,Port Said International Airport,31.280348,32.246032,10.0,AF,EG,EG-PTS,Port Said,no,HEPS,PSD,,http://en.wikipedia.org/wiki/Port_Said_Airport,https://en.wikipedia.org/wiki/Port_Said_Airport,El Gamil
27219,3197,HESC,medium_airport,Saint Catherine International Airport,28.682729,34.060503,4402.0,AS,EG,EG-JS,Saint Catherine,no,HESC,SKV,,,https://en.wikipedia.org/wiki/St._Catherine_International_Airport,
27220,300893,HESG,medium_airport,Suhaj Mubarak International Airport,26.339115,31.737624,322.0,AF,EG,EG-SHG,Suhaj,yes,HESG,HMB,,,https://en.wikipedia.org/wiki/Sohag_International_Airport,Mubarak International Airport
27221,3198,HESH,large_airport,Sharm El Sheikh International Airport,27.978902,34.385598,191.0,AS,EG,EG-JS,Sharm El Sheikh,yes,HESH,SSH,,,https://en.wikipedia.org/wiki/Sharm_el-Sheikh_International_Airport,
27222,3199,HESN,medium_airport,Aswan International Airport,23.9643993378,32.8199996948,662.0,AF,EG,EG-ASN,Aswan,yes,HESN,ASW,,,https://en.wikipedia.org/wiki/Aswan_International_Airport,
27224,335334,HESX,medium_airport,Sphinx International Airport,30.108148,30.89569,553.0,AF,EG,EG-GZ,Giza,no,HESX,SPX,,,https://en.wikipedia.org/wiki/Sphinx_International_Airport,
27225,3200,HETB,medium_airport,Taba International Airport,29.594496,34.775752,2425.0,AS,EG,EG-JS,Taba,yes,HETB,TCP,,,https://en.wikipedia.org/wiki/Taba_International_Airport,
27227,17620,HEY,heliport,Hanchey Army (Fort Rucker) Heliport,31.34600067,-85.65429688,317.0,,US,US-AL,Fort Rucker Ozark,no,KHEY,HEY,HEY,,https://en.wikipedia.org/wiki/Hanchey_Army_Heliport,
27228,17622,HGT,heliport,Tusi (Hunter Liggett) Army Heliport,35.9935,-121.237,1017.0,,US,US-CA,Jolon,no,KHGT,HGT,HGT,,,
27230,3202,HHAS,medium_airport,Asmara International Airport,15.291899681091309,38.91070175170898,7661.0,AF,ER,ER-SK,Asmara,yes,HHAS,ASM,,,https://en.wikipedia.org/wiki/Asmara_International_Airport,
27233,3203,HHMS,medium_airport,Massawa International Airport,15.670000076293944,39.37009811401367,194.0,AF,ER,ER-SK,Massawa,yes,HHMS,MSW,,,https://en.wikipedia.org/wiki/Massawa_International_Airport,
27234,3204,HHSB,medium_airport,Assab International Airport,13.071800231933594,42.64500045776367,46.0,AF,ER,ER-DK,Asab,yes,HHSB,ASA,,,https://en.wikipedia.org/wiki/Asseb_International_Airport,
27242,17628,HI07,heliport,Waikoloa Heliport,19.920546,-155.860628,119.0,OC,US,US-HI,Waikoloa Village,no,HI07,WKL,HI07,,,
27271,300863,HIA,medium_airport,Huai'an Lianshui International Airport,33.790833,119.125,28.0,AS,CN,CN-32,Huai'an,yes,ZSSH,HIA,,,https://en.wikipedia.org/wiki/Huai'an_Lianshui_International_Airport,
27273,3247,HJJJ,large_airport,Juba International Airport,4.87201,31.601101,1513.0,AF,SS,SS-17,Juba,yes,HJJJ,JUB,,,https://en.wikipedia.org/wiki/Juba_Airport,"JIA, HSSJ"
27370,28481,HKAM,medium_airport,Amboseli Airport,-2.645050048828125,37.25310134887695,3755.0,AF,KE,KE-700,Amboseli National Park,yes,HKAM,ASV,,,https://en.wikipedia.org/wiki/Amboseli_Airport,Maasai Amboseli Game Reserve
27376,3205,HKEL,medium_airport,Eldoret International Airport,0.4044579863548279,35.23889923095703,6941.0,AF,KE,KE-700,Eldoret,yes,HKEL,EDL,,http://www.kenyaairports.co.ke/kaa/airports/eldoret/,https://en.wikipedia.org/wiki/Eldoret_International_Airport,HKED
27386,3206,HKJK,large_airport,Jomo Kenyatta International Airport,-1.31923997402,36.9277992249,5330.0,AF,KE,KE-110,Nairobi,yes,HKJK,NBO,,http://www.kenyaairports.com/jkia/IndexJkia.php,https://en.wikipedia.org/wiki/Jomo_Kenyatta_International_Airport,"Jkia Airport, Embakasi Airport, Nairobi International Airport"
27390,3208,HKKI,medium_airport,Kisumu Airport,-0.0861390009522438,34.72890090942383,3734.0,AF,KE,KE-600,Kisumu,yes,HKKI,KIS,,http://www.kenyaairports.co.ke/kaa/airports/kisumu/,https://en.wikipedia.org/wiki/Kisumu_Airport,
27394,3209,HKKT,medium_airport,Kitale Airport,0.9719889760017396,34.95859909057617,6070.0,AF,KE,KE-700,Kitale,no,HKKT,KTL,,,,
27397,3210,HKLK,medium_airport,Lokichoggio Airport,4.20412015914917,34.348201751708984,2074.0,AF,KE,KE-700,Lokichoggio,yes,HKLK,LKG,,http://www.kenyaairports.co.ke/kaa/airports/loki/,https://en.wikipedia.org/wiki/Lokichogio_Airport,
27398,3211,HKLO,medium_airport,Lodwar Airport,3.1219699382781982,35.608699798583984,1715.0,AF,KE,KE-700,Lodwar,no,HKLO,LOK,,,,
